,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,close,priceTheory,garchVol,std,ticker,signal,reward
883,AAPL241004P00217500,2024-09-27 19:59:54+00:00,217.5,0.33,0.31,0.34,-0.049999982,-13.15789,1667.0,3925.0,0.252937158203125,False,REGULAR,USD,put,227.7899932861328,0.2558790913026602,0.19933456847918885,0.2337381217789981,AAPL,,0.0
884,AAPL241004P00220000,2024-09-27 19:59:53+00:00,220.0,0.52,0.5,0.54,-0.08000004,-13.33334,11239.0,13832.0,0.23633576171874998,False,REGULAR,USD,put,227.7899932861328,0.5286660622623136,0.19933456847918885,0.2337381217789981,AAPL,,0.0
885,AAPL241004P00222500,2024-09-27 19:59:42+00:00,222.5,0.88,0.83,0.9,-0.15999997,-15.384613,14028.0,6847.0,0.22364057617187497,False,REGULAR,USD,put,227.7899932861328,0.995216129332641,0.19933456847918885,0.2337381217789981,AAPL,,0.0
886,AAPL241004P00225000,2024-09-27 19:59:54+00:00,225.0,1.49,1.42,1.49,-0.110000014,-6.875001,11626.0,10919.0,0.2122881506347656,False,REGULAR,USD,put,227.7899932861328,1.7204467282061118,0.19933456847918885,0.2337381217789981,AAPL,,0.0
887,AAPL241004P00227500,2024-09-27 19:59:45+00:00,227.5,2.42,2.32,2.44,-0.12999988,-5.0980344,15249.0,3564.0,0.20533021240234373,False,REGULAR,USD,put,227.7899932861328,2.753485495068494,0.19933456847918885,0.2337381217789981,AAPL,,0.0
888,AAPL241004P00230000,2024-09-27 19:59:34+00:00,230.0,3.65,3.6,3.75,-0.3499999,-8.749998,6009.0,1536.0,0.19702951416015624,True,REGULAR,USD,put,227.7899932861328,4.114080691404789,0.19933456847918885,0.2337381217789981,AAPL,,0.0
889,AAPL241004P00232500,2024-09-27 19:54:04+00:00,232.5,5.47,5.3,5.7,-0.23000002,-4.035088,487.0,1003.0,0.21411918701171873,True,REGULAR,USD,put,227.7899932861328,5.787423579278977,0.19933456847918885,0.2337381217789981,AAPL,,0.0
890,AAPL241004P00235000,2024-09-27 19:58:54+00:00,235.0,7.33,7.1,7.85,-0.5700002,-7.2151923,205.0,651.0,0.2299881689453125,True,REGULAR,USD,put,227.7899932861328,7.7295270631631805,0.19933456847918885,0.2337381217789981,AAPL,,0.0
891,AAPL241004P00237500,2024-09-27 19:42:20+00:00,237.5,9.95,9.15,10.2,-0.3000002,-2.9268312,70.0,107.0,0.256843369140625,True,REGULAR,USD,put,227.7899932861328,9.880134160365388,0.19933456847918885,0.2337381217789981,AAPL,,0.0
892,AAPL241004P00240000,2024-09-27 18:49:58+00:00,240.0,11.9,11.95,12.6,-0.3800001,-3.0944636,845.0,27.0,0.28321029296874994,True,REGULAR,USD,put,227.7899932861328,12.177196475370398,0.19933456847918885,0.2337381217789981,AAPL,,0.0
893,AAPL241004P00242500,2024-09-27 19:39:09+00:00,242.5,14.75,13.9,15.05,-0.19999981,-1.3377914,9.0,19.0,0.313483427734375,True,REGULAR,USD,put,227.7899932861328,14.567662046714927,0.19933456847918885,0.2337381217789981,AAPL,,0.0
894,AAPL241004P00245000,2024-09-26 19:15:33+00:00,245.0,17.45,16.35,17.65,0.060001373,0.34503376,1.0,360.0,0.37354142089843745,True,REGULAR,USD,put,227.7899932861328,17.012360859866316,0.19933456847918885,0.2337381217789981,AAPL,,0.0
895,AAPL241004P00247500,2024-09-27 19:37:30+00:00,247.5,19.8,19.05,20.2,-0.20000076,-1.0000038,14.0,11.0,0.422857333984375,True,REGULAR,USD,put,227.7899932861328,19.485804233176367,0.19933456847918885,0.2337381217789981,AAPL,,0.0
896,AAPL241004P00250000,2024-09-27 19:37:30+00:00,250.0,22.3,21.6,22.6,0.049999237,0.22471568,21.0,19.0,0.437505625,True,REGULAR,USD,put,227.7899932861328,21.973189891181406,0.19933456847918885,0.2337381217789981,AAPL,,0.0
897,AAPL241004P00255000,2024-09-27 18:56:34+00:00,255.0,26.92,27.0,27.65,-0.37999916,-1.3919383,2.0,2.0,0.5210008837890624,True,REGULAR,USD,put,227.7899932861328,26.96290752460951,0.19933456847918885,0.2337381217789981,AAPL,,0.0
898,AAPL241004P00265000,2024-09-27 19:45:08+00:00,265.0,37.35,36.9,37.65,0.0399971,0.10720208,2.0,2.0,0.6552768847656252,True,REGULAR,USD,put,227.7899932861328,36.95249698155735,0.19933456847918885,0.2337381217789981,AAPL,,0.0
899,AAPL241004P00275000,2024-09-19 19:50:00+00:00,275.0,45.95,46.85,47.6,0.0,0.0,,0.0,0.7617211328125001,True,REGULAR,USD,put,227.7899932861328,46.94277553579832,0.19933456847918885,0.2337381217789981,AAPL,,0.0
900,AAPL241004P00300000,2024-09-24 15:12:51+00:00,300.0,72.55,71.85,72.7,0.0,0.0,6.0,0.0,0.8085956640624999,True,REGULAR,USD,put,227.7899932861328,71.91848178367111,0.19933456847918885,0.2337381217789981,AAPL,,0.0
