Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,g_1000_Daily_Pct,Risk_Reward_10D,RS_Uptrend,MA_Uptrend,MA_Day_Uptrend,MA_Week_Uptrend,ITrend_Uptrend,Buy_Signal
CAPTRUST.NS,0.97,0.83,0.97,0.45,0.69,0.55,0.71,0.65,138.49,32.66,0.309,0.1048,0.09,False,True,True,True,True,False
NBCC.NS,0.85,2.46,0.85,0.75,0.93,0.93,0.83,0.83,138.51,31.34,0.3971,0.2524,0.13,True,True,True,True,False,False
WHIRLPOOL.NS,0.97,0.35,0.97,0.57,0.43,0.41,0.77,0.76,138.54,25.22,0.1725,-0.0056,0.07,False,False,True,False,True,False
KSCL.NS,0.99,1.12,0.99,0.9,0.79,0.69,0.87,0.83,138.56,34.53,0.3483,0.0958,0.1,True,True,True,True,True,False
KOKUYOCMLN.NS,1.0,0.45,1.0,0.59,0.5,0.35,0.78,0.67,138.7,30.52,0.2323,0.1668,0.08,False,True,True,True,True,False
PARSVNATH.NS,0.96,0.88,0.96,0.37,0.72,0.64,0.67,0.64,138.77,31.39,0.3166,0.1447,0.1,False,True,True,True,True,False
LIBERTSHOE.NS,0.85,0.87,0.85,0.7,0.71,0.67,0.82,0.82,138.85,26.46,0.2383,0.1397,0.09,True,True,True,True,False,False
HIRECT.NS,0.93,1.55,0.93,0.49,0.87,0.83,0.74,0.85,138.88,30.58,0.1944,0.2534,0.06,True,True,True,True,False,False
INSPIRISYS.NS,0.73,0.96,0.73,0.48,0.75,0.63,0.73,0.79,138.94,21.38,0.2151,0.1548,0.1,False,True,True,True,False,False
OILCOUNTUB.NS,0.9,1.5,0.93,0.59,0.86,0.67,0.78,0.63,139.05,30.99,0.4003,0.2788,0.13,True,False,False,True,False,False
COCHINSHIP.NS,0.62,3.28,0.62,2.25,0.94,0.94,0.95,0.95,139.15,33.23,0.4689,0.372,0.14,False,True,True,True,False,False
RANEENGINE.NS,0.84,0.79,0.84,0.6,0.68,0.49,0.79,0.64,139.32,34.0,0.3458,0.1212,0.1,False,True,True,True,True,False
IGARASHI.NS,0.89,0.15,0.89,0.35,0.25,0.25,0.65,0.66,139.77,22.73,0.1446,0.0917,0.06,False,False,False,False,True,False
MOTHERSON.NS,0.91,0.94,0.91,0.71,0.74,0.75,0.82,0.84,139.95,30.55,0.3531,0.1483,0.12,True,True,True,True,False,False
LUPIN.NS,0.97,1.02,0.97,0.54,0.76,0.73,0.76,0.75,140.07,31.04,0.3226,0.1211,0.1,True,False,True,False,True,False
HMT.NS,0.82,1.78,0.82,0.95,0.89,0.84,0.88,0.84,140.08,25.21,0.211,0.1758,0.08,True,True,True,True,False,False
POLYMED.NS,0.95,0.76,0.95,0.63,0.67,0.62,0.8,0.72,140.33,33.63,0.3143,0.1977,0.09,False,True,True,True,True,False
POWERINDIA.NS,0.81,1.49,0.81,1.17,0.86,0.88,0.91,0.91,140.5,33.35,0.4202,0.2688,0.13,True,True,True,True,False,False
AIRAN.NS,0.85,0.75,0.85,0.59,0.66,0.62,0.78,0.75,140.58,30.35,0.2929,0.1268,0.1,False,True,True,True,True,False
PURVA.NS,0.79,2.86,0.79,1.73,0.94,0.93,0.94,0.94,140.73,35.21,0.4428,0.2771,0.13,True,True,True,True,False,False
