Exchange,Ticker,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year
xnas,psmt,1.26,0.19,7.13,22.96,18.06,31.14,13.19,14.03,3.37,11.52
xnas,pstv,2.04,13.45,-34.89,-77.4,-71.7,-86.88,-68.27,-58.3,-70.74,-61.12
xnas,ptc,1.51,1.2,7.32,6.09,-7.36,-2.44,12.87,15.26,15.09,17.24
xnas,psnl,2.96,12.53,30.25,23.46,-9.86,272.14,14.18,-17.15,,
xnas,ptct,0.77,7.44,44.05,-1.27,15.49,41.16,24.61,0.65,-0.88,
xnas,pten,4.13,6.52,6.14,-17.76,-27.85,-40.87,-29.47,3.63,-9.37,-2.81
xnas,ptgx,1.04,14.56,29.45,39.26,40.88,59.85,82.95,27.64,,
xnas,ptix,3.87,-5.97,10.37,-29.2,-47.23,-76.06,-56.77,-44.7,-42.72,-59.94
xnas,pton,5.19,2.82,4.43,15.32,-16.09,95.19,-16.37,-30.77,,
xnas,ptlo,3.11,-3.42,10.7,-15.89,23.3,15.09,-13.28,,,
xnas,pulm,-0.11,-1.0,42.39,22.47,27.36,367.89,19.5,-23.62,-42.1,
xnas,pubm,0.84,3.08,22.81,20.6,-17.9,-43.51,-15.59,,,
xnas,pvla,8.13,5.26,10.77,6.1,111.67,,,,,
xnas,pvbc,3.25,3.07,6.63,0.17,2.98,15.21,-10.15,5.11,,
xnas,pwp,5.07,7.37,11.96,-9.26,-21.18,28.69,38.6,,,
xnas,pxlw,2.86,3.68,-0.75,-25.83,-30.91,-51.07,-38.81,-33.34,-23.26,-12.68
xnas,pwod,1.51,-0.2,0.78,1.88,-1.78,51.25,12.21,5.3,3.82,6.04
xnas,pxs,0.18,-3.81,-8.55,-20.34,-29.26,-44.18,1.23,-5.66,,
xnas,pyxs,8.87,11.57,26.17,14.41,-13.46,-61.86,-17.22,,,
xnas,pypl,1.32,4.48,7.91,7.86,-13.97,9.56,-5.43,-13.99,,
xnas,qcrh,1.92,-0.59,2.56,-6.42,-16.96,18.16,5.73,14.54,12.22,13.03
xnas,qdel,-1.24,-3.72,13.84,-26.1,-33.71,-30.65,-31.87,-28.1,2.6,6.56
xnas,qcom,1.14,3.4,7.31,-3.79,-1.72,-27.1,4.22,13.17,9.93,11.55
xnas,qlgn,-1.57,-0.53,8.69,15.74,-10.93,-65.12,-76.92,-72.9,,
xnas,qeta,0.0,1.5,1.31,2.26,2.94,4.93,,,,
xnas,pzza,5.05,10.3,48.94,8.28,23.76,9.71,-14.74,-6.15,-1.17,11.53
xnas,qmco,2.71,-10.45,-6.1,-6.75,-80.29,10.71,-36.13,-33.96,-28.67,-20.81
xnas,qlys,1.55,2.39,11.86,9.38,1.17,4.99,2.76,5.5,12.84,
xnas,qncx,-1.68,12.5,11.43,-22.0,-37.43,39.24,-26.28,-51.01,,
xnas,qnst,2.95,5.17,-9.47,-13.52,-30.39,-7.22,13.34,7.3,9.79,1.29
xnas,qrvo,0.59,3.37,11.76,10.37,12.37,-21.4,-10.56,-7.44,-0.63,
xnas,qrhc,0.0,0.0,-5.98,-52.38,-66.15,-75.08,-20.63,7.12,-13.55,-11.77
xnas,qsi,8.75,3.57,46.22,35.41,-35.56,12.26,-24.85,,,
xnas,qtrx,4.07,3.27,0.37,-28.3,-49.48,-65.62,-31.45,-27.03,,
xnas,qttb,3.26,9.83,23.38,-18.45,-44.77,-90.87,,,,
