Exchange,Ticker,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year
xnas,amd,0.43,4.93,17.82,17.54,-3.81,-30.33,3.22,16.95,47.84,19.42
xnas,amed,0.01,-0.19,-2.31,1.87,3.41,2.67,-6.49,-11.78,10.65,4.63
xnas,amgn,1.13,0.75,8.23,-7.9,13.22,-2.0,8.84,7.94,8.49,13.5
xnas,amix,7.25,-8.92,-20.43,-40.8,-60.64,-95.89,,,,
xnas,amkr,2.28,7.34,10.66,-2.63,-24.39,-39.36,0.09,10.73,12.14,8.18
xnas,amlx,5.54,3.5,14.62,47.65,41.01,202.84,-24.06,,,
xnas,amod,0.0,6.84,-18.3,-21.88,-58.33,,,,,
xnas,ampg,7.27,9.77,25.53,46.58,-54.09,96.67,6.03,21.81,16.79,
xnas,amph,1.84,1.09,8.88,-8.23,-30.0,-36.53,-11.48,5.89,4.68,
xnas,ampl,-1.77,2.82,35.97,4.51,20.76,50.41,-12.01,,,
xnas,amrk,1.36,6.03,-13.37,-22.38,-22.19,-39.87,-10.03,26.28,17.95,
xnas,amrx,6.28,4.1,6.13,-13.01,-3.79,13.9,31.78,9.01,,
xnas,amsc,-1.19,11.39,50.98,64.21,27.81,46.15,73.48,31.65,18.03,-13.86
xnas,amsf,0.66,-3.43,-2.68,-9.23,-10.3,15.62,5.65,0.36,7.75,12.12
xnas,amst,-2.74,3.65,33.33,17.84,-40.21,-18.62,-26.51,,,
xnas,amtx,13.37,14.04,56.0,13.37,-27.51,-38.19,-37.53,15.71,-7.82,0.92
xnas,amwd,-0.42,-3.39,-7.76,-11.3,-31.52,-35.85,0.12,-6.07,-0.47,6.21
xnas,amzn,2.72,4.18,15.44,6.41,-2.65,15.44,19.62,11.46,25.9,26.7
xnas,anab,12.11,6.61,17.79,44.51,79.0,-0.88,6.14,4.04,,
xnas,ande,1.37,-2.37,-0.77,-18.56,-13.47,-29.85,-2.55,21.08,0.14,4.86
xnas,aneb,-4.17,3.41,-2.7,5.88,-35.71,-50.12,-32.43,,,
xnas,dgii,2.3,5.46,22.12,18.07,13.07,45.94,10.83,23.94,13.11,9.29
xnas,dgly,9.29,-1.2,-95.25,-98.24,-99.76,-99.96,-95.95,-88.06,-70.74,-56.64
xnas,dh,5.06,12.99,41.13,42.21,-9.0,-33.92,-41.91,,,
xnas,dhil,1.24,-0.4,3.65,-4.44,-8.32,-3.19,-4.52,10.47,1.88,10.47
xnas,dibs,0.36,9.96,13.58,-22.69,-22.03,-51.92,-22.63,,,
xnas,diod,4.07,11.26,27.62,-0.9,-19.9,-32.56,-13.22,-1.57,6.9,6.69
xnas,djco,-0.08,0.09,10.33,11.21,-25.73,15.22,13.92,8.2,7.31,12.61
xnas,djt,3.88,-2.02,-12.18,-4.91,-38.71,-54.58,,,,
xnas,dkng,6.17,-0.2,6.64,-10.7,-3.74,-4.66,39.89,-1.86,,
xnas,dlhc,7.21,10.0,35.47,12.94,-31.51,-53.47,-31.46,-7.49,8.41,15.65
xnas,dlpn,1.72,10.28,9.26,19.19,10.28,-45.87,-45.48,-34.52,-25.23,-25.1
xnas,dlth,4.32,3.76,12.21,-29.3,-37.54,-47.77,-44.35,-23.23,,
xnas,dltr,-2.24,4.7,12.78,36.76,26.1,-15.9,-16.35,0.34,1.98,10.79
xnas,dmac,1.22,0.73,7.25,-30.42,-23.76,51.65,20.1,-2.67,9.7,
xnas,dmrc,-2.9,2.52,7.49,-14.69,-64.19,-54.34,-6.57,-5.3,-7.79,-1.51
xnas,dnli,3.38,11.03,5.23,-9.65,-27.87,-31.02,-14.57,-10.73,,
xnas,dnth,1.51,8.4,-5.51,-19.86,-13.53,-9.94,,,,
xnas,dnut,0.0,1.04,-33.03,-49.4,-69.89,-71.46,-38.39,,,
xnas,docu,-18.97,-15.04,-7.8,-5.63,-16.3,37.88,-3.69,-11.62,,
xnas,dogz,2.85,3.92,70.71,-3.78,-41.2,94.55,-17.01,-2.14,,
xnas,domh,11.11,22.17,2.86,-19.28,481.06,168.63,7.18,-14.35,-39.12,-51.78
xnas,domo,2.38,15.2,94.55,107.52,106.64,115.15,-23.16,-14.59,,
xnas,dorm,-0.27,-2.04,2.99,-1.59,-2.22,39.8,6.51,9.75,9.97,18.13
xnas,dpz,1.78,-1.18,-2.35,-2.14,11.96,-7.63,8.67,5.47,16.38,27.86
xnas,drct,3.79,5.3,-37.24,-38.42,-65.39,-79.84,-32.51,,,
xnas,drio,0.14,-1.97,0.11,-3.44,-10.83,-47.69,-53.11,-34.24,-39.86,
xnas,drma,5.84,3.47,-17.94,-38.42,-44.81,-78.74,-83.33,,,
xnas,drrx,0.37,1.83,-8.15,-29.28,-27.87,-65.54,-50.97,-53.2,-33.56,-22.63
xnas,drs,-0.03,4.93,7.32,49.35,37.93,82.79,,,,
xnas,drug,-0.72,6.4,-4.86,-23.09,-23.35,,77.95,,,
xnas,drvn,4.62,3.03,-0.6,15.69,13.75,62.05,-14.85,,,
xnas,dsgn,0.25,7.51,10.47,-21.68,-35.01,-1.96,-33.81,,,
xnas,dsgr,1.51,1.36,14.27,-9.44,-19.71,-9.47,10.33,8.36,9.66,10.19
xnas,dsgx,0.64,-11.81,-5.01,0.53,-9.99,10.03,16.9,15.61,21.31,20.72
xnas,dsp,5.97,5.51,-2.41,-3.39,-23.38,54.79,32.75,,,
xnas,dti,8.77,16.03,35.11,2.7,-7.03,-48.65,-32.72,,,
xnas,dtil,7.02,13.66,7.65,6.6,44.09,-56.22,-53.07,-51.93,,
xnas,dtss,10.44,3.52,11.37,11.9,2.62,-47.78,-54.74,-38.49,,
xnas,dtst,1.99,3.48,9.62,9.62,-8.26,-41.56,7.89,-4.16,8.73,-11.34
xnas,duol,-1.92,-1.28,4.57,88.05,58.21,164.27,74.43,,,
xnas,duot,6.71,12.29,30.55,64.56,43.65,273.48,24.23,10.4,-27.21,-32.7
xnas,dvax,2.91,4.6,-6.23,-28.59,-19.81,-16.54,-5.28,10.95,-7.32,-3.73
xnas,dvlt,1.47,1.59,0.41,9.37,-59.18,-65.13,-95.6,-88.1,,
xnas,dwsn,0.81,-6.77,-5.34,-9.81,-7.46,-35.75,-2.63,-2.27,-12.0,-9.09
xnas,dwtx,0.1,-5.6,8.19,10.38,96.39,-17.12,-64.68,,,
xnas,dxcm,1.08,1.01,6.3,9.01,11.44,-24.83,5.37,-1.0,16.92,27.02
xnas,dxlg,1.94,-7.08,8.14,-46.7,-60.97,-71.07,-39.19,13.89,-14.47,-7.53
xnas,dxpe,1.33,-0.74,-10.26,4.61,-0.67,76.57,36.74,27.45,7.11,12.01
xnas,dyai,2.06,-4.53,-11.61,-34.0,-43.43,-55.0,-26.27,-30.49,0.0,-10.58
xnas,dyn,5.08,22.91,46.71,20.1,-37.61,-54.78,48.93,,,
xnas,ea,1.14,4.03,-3.09,9.48,2.49,9.41,2.7,5.28,9.3,16.34
xnas,ebay,1.12,7.43,12.14,16.68,27.83,49.34,19.68,11.25,6.77,12.09
